id,type,subject,prompt,answer,canary
1,选择题,材料工程,pv3FpsDapMnrx/DhsPmNf2iq+vWjmuGs0dS3kd+1//mmxpWn04e18fCs3a2y2diyuPGm3d6p36rG+85GQVuaoMV1CGrG4dSB0/CPlsCF9+GJ0t6037FMh8CxenAn0K20cHIhBBQjTNOwu9CMmMiw4tSAl9Xxm9y27UEBa6r+xaTVy66PwqTu5wAXZqnt5aGa6A==,Bg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
2,选择题,化学,pv3FpsDap87CxcHys8iJu/znsvfXxtDBsd/WyO7ktvbUtI3itIH+q9vNqLj7ZXB0CW8PYq7u0cmJ1YXU25fouKDuxqyf/4bd44Xvpbbpw4Dk+ElxqLr+itm0dlIqfB7QpL0sTAYuh6mFDA8Le8i67NaOo9XphtCP9YX4wwAiewMOZmcAofjipZjHrcDEq8qQACQYCmbE+M+23e63jdm2vPir281iALHV1rygyqr0x6j1msXs7Ivb5p66w7DF0sXVxIP42o+F2IbV6lRDKzAPdVBJLgF3DipSY3oFGiofe1OBta8ZehbZt7qGrrTfnsDXm6aH7dSg4+Wv18W3xLGh8MFtALTo27Ll8sT0/7PUysnByrj6xrCg3bW55qj82qmbx6PG0Mntyqr8xaeuvYXJz4Ts8sj4zqHlrJ7e8YnN/8jc8o7r3k9Ftfm6gcz81aWSgIib0Y66iq6JhMaqyIev3bid09GV3aWQhLyj1PLppcznb2io+OSjn9+l7MHG/u2qxcSiqN6g6NK3qPEeMXcJN8PB0cb96KTt2MLU2bzsoKrg1q/T5Mqb1YPu/JbBraLa5qyjxYTp6YbQlbXbwIDW24Dfytnk4EZwFtfcusW+mdj2utDZ+9yogRBoWB5yBHB8BXMpAnZ+LSlroMHsr9nptvGuodHcp6jDrtPcqtiap9HBoN62pMDYosj7CKXroLf9+qzLl7LZ0b2L16jZwar4oMbM84n79p+q0LLQyMj1zYLnykHO0+GN3eeL7v6orvOG3qrRttzWoprSiexlBof+tcidot68pARbCtG4vYSKoR1ChfvapsD1pMHIo5/DpujoyNLSqtrBoZraoN7zt4TGtszMp86aqPi4tcTHrOOwvMj3s6nmrczLbgEAxevni8zinJzIsfH+Y0AqVF8tj7fXhfXsiP/ftsiTSEKDu77WyaPIs7PU8obS/evdppbftp/Ip+3VhJ/V/oodHCwpcGyp2cyo0d6uqMKk6MPGzcyr6N+hpf+jysxjFKb33abB0A==,AwcK,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
3,选择题,化学,A6bOwgquwdMIw8TAEKKg0g2r79ijh8Og08a1lOG3ysGk3L+k/rC19s6v25Cw+8WyjO6r7ter4YnD4+OL1sCev+IUqsShOoHl7yCLrdInj/3BhPr8pKvMhPqs3bbn1JmV0onPyq7lh6623p+12bCriLSl0oH/1bCyhdXiaW4CrcjCtf+Ao9vQpK7MreLFqfmCqM3GosikpvbroOzCxfHixsjjpfHOxOzvsOCIquPcZW4GzaDiJYv92pylxLL95MXo7oPy/ICM+4fRyIvH4bX7tIP53tq6iIOpqdGLvIWQmk1C0IO63IOcyq/l1rmi2NWY0K3KhPr9qPvhqfnZrr3Dpez7xsTop9z+opDaoevWfgADt8rBpeqgpvSttuz5rvqAsdnwvKDMq8PtqNKYxdvZifXan73ivMDwxdb4gdbjjJfIhf/iierMttu+gdvS14OQSBNo066eh7GEhMGGyYGV3aCG3Oa80quwiJut1vjlq8LfpvnTpNfIx/Dht8Git/DEsMTTyOHxsPbHydXJuOrutbrFtbj/bGlpZ2F6B7zsmqjs/6zLxsmUw01OhPfPxdfZrvCAnd7ni97Kye7wKlNehfvVp7L0h+613Z701bSD0ozxy6HkiraQ34KO1Je7h6+90azb1o+Hh+jAaW6ryMGmzfjF5umxybm29s+w8sTFweqy/vfFxuq3y/G3vOm1jeurwOKrkeWg1/cMb6vX6ar9lMnhwofm/p+7+bLyy8X25I3R5IGGy4XRzIfI/bTPsYfi5BN6HYG/u9CmuYWknSMmB8uhl9+rmdLbjNGpu4S4s9TP8W5lpsjtpMDVDsXUzbHQiLXU0LLWwMnJ1LP0zMXMxbjx6bW9wbSh+6nczquv+6LM/GILfKvI46Kvi4Dh7EExV8fT/Qyhre2K0caH1bG6+9qD8OJJcaal14fEm9+n0dWztNKM/sSs1YSrrN6sjdiKli9SfHR/UtaPh4TX8GlupNz4qfXoxPzBsf2gtu/EsPz1xPLfs9n6ydnkttvAt6z7tqfqq8/5qbnprdHmxv3Hqv7Opq6iQyVAIJH5oQSx8eDF/eGC2sONovyL6tiL3se3yaqB7PnWlaOAi4fTo4GEgqBJIw8NehHciJcGWxMF1LDgAg8RU4X54KvMwnx7cnrH3sWxzba22Meyxe0=,AwcN,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
4,问答题,化学,p+r3p/LDpN7dxennsf2vt/D1FnkMEXwKZKLIpKXq3KDE0cnH1Axwq/rQq6fuoN3ixPf1pdrwoZaaV4XWy5Xbk6Lb1qGN6IX/6ob4obbr74DS4YPPxd7Z8YGUtdTViA==,dA==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
5,选择题,化学,GqbOwhGr2f2useynyN7I8uCq3MGgmsKg28S3r/a11cam5oBhfwC1+/Ou0YUMptjVeav3x6DZ8cuu/ITD8ZfDr6HA+aO7wIfSwFBIAXM7iuXvOo3S/N/ZwIC7qNbopcilvtbrhHlBgbWv3YCz1aWiiZyA0YP01piShcDsotTHrtXueq6E3qjUyAlzCWG9x+F4rcXXHLeExbTqy6TCrKXroLXd6a/Sv3hlvdy5qsLarN7NyanKLIrZ/5yv6L3K+cbgzYPDwI22yIr0x4re9rTfsYHq4NaVo4Kqm9GLokJvGonpkHXeorzVoKCJh5zSiNnWjZiG2cmj1uyu/dW29rNoYbHJuQqv1dGpybWm8f6g6pin6Pmh+dnE+MzGyOOn+drE6dZ4Fw6nxekRrcWveYfZyoT3+sfz9azViJ7++oj22MjkzVhJTobtyKSL+obcvd+V39aApdO99Mik6YW8hN6ivH3IkfvXia7V+qvSlu9BBmumyO0ApOPVxP7Ps+ebtuXfs9XyxPPWemW3qNi11fOl6o2k3I+4z/ys3ouy2dG9vdGo0sioxYnJ988=,AQE=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
6,选择题,生物,pOX3pcXjBDw4RSkjOKe1467C+6n+s6nf0nRjEKbZ2KPd/gyl6IW09Mqs3Yqw/fKwmvWp/fKr2pTF+MGK2f+fuOix9MnEwuwGBhFcXGFbVkUvWSYdD3FEIFx9aGpRYQ12DGQsbmxBJg9hcHZ7AB8AUAU=,AwcN,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
7,选择题,生物,pv7rp/DGpMHhxP7asd6attPvsP3axPTLsv/ox/DrGwAGFcbU48bd4qTz3cTs6L/OpKrA06zB1MigxITr7JXvi6Dp8625z4f61Ibzjbr474D+64Hp7AVMh8Kp0bPt2o+tHxEjF3clWncNewJycWYGQXAOfncpEHELLTMDDH8=,AwcNBw==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
8,问答题,生物,pNPfpOP0qODjx/7ys/CTtcLYsfHXRys3Oyk7TiS06M+kzZqkyIAzIDQ6OkUmo8D7x9v/qc7uoZaKNYLu4Jf+gKPt4wDF6u6A6cOMlfkpjPrUhv7xpoHghO6j36ngDA==,c2l9b3k=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
9,问答题,生物,p8TJpu7PperLxPzrs9eetN/Kstj1Ya3F1wexoMATs8XAFsXayMTo5qTW9MXP5b3RkarewK/A4suo1U1OhPfPxP/4CKGy9CCB1tmAks2K/eSL/N+02ppIQidx0Iz62rm0GhEDT9ze/Ny5uNu4ssmNxdeMnXEAcldyASUmoNH5rdbht9Wro9vQpqjlruDYYGTFy/Oz1dzE+vO12vu3u+G2vtuo+fMPQRYnGzdkK6vDww8EbEIgAioFleOko+/uo7TnhMPshOaqt9/zg/bMgPXb39TzWQ==,cmt/cX1hcQ==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
10,选择题,生物,pv7rp/DGpMHhx+PMstmPtOH1vNvwyPPps/jHx/rUtejntbrFtbbpqvLccQAVfwsgRT0rI2Q9IF8AIVs9DRsdRWomLDUAO1goLyQhbn4QDBROJ18BDXswLQ==,AwcN,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
11,问答题,生物,p9nmp/DNpvXGx8vMs+mgtNLLvOfcxf/0sOHfx8j5t9/Ft6/3tJvvqPzaqpj5aXixr96pwvmq/6jE2+GJxv+eqf6z587H4uaC+vyPpPqGzcKL6+O07KqH4uTWvYWBrJfTqp2FlqeH/LHItK3cjaDR2Z4YF9TbpNKT0Ybx06nZzKrt/n/E+cyz45O2xtCw4dTE9s+++szGz/W0/8e2mMG3mPqryPCojt6iwtDFw9ip5OigsZqG+sxNUpGf3rHx7sXn2ID1wY+54ofR5Yrbz7TRkYPDzdSit4O9gtK8h4WWp4f8scmBttyIrdHZmdOonYiji9nm46rH5KrN9abpz8bM0bfBorbY5LP86sfs9LPa6MXN1bXV6raax7aY6KTmyKm60K3d7sXXwqnY6qauoYrZ8YTq9cXW8arEoZDh+4v7z8jG1UVFit7jucKCjOfc1qCUgaab3ZSahpW0hsW4yq2K3a+X0O2l05+7hIqT1/nVq+7WpNLJpuPwxPj9s+ORttf1s8XExcHTsv7xw8HSuPrYtpratr/qqt3lq63BoeXZxPbFpd76rK66i97phtHOycLtrf6skefKh/fGysjbgdrwhtjzp7L0ht6z3q7F15WO36LcARSF2o7EqobciKfTzrzdraSFiLXXzNSq8tOk7vak4vrE+Nuy3am38M+x9O7E8OK/1uzFyda20e5+AKTbprbY7q7akbzO/bGZ/ar046nmmcnm2Yvt5J66w7Pp/MfL9IPO24Cm5Irs3YnY4bfJqkhCjoyh196oyL2w1/aC0Nns0KKP34OPyYjy14ya1/u00LTrhNLNpsr6qvXyrqjCpPnRxs/BqMjMo5TpoPnDtbrFt8v9peiype68t9jpZW7F7fO87LSq0uSv6sjJqcqI7uOXw7Su/tGilc+E7vqG1Je018KAyvWC6/7d6s2DkbvX3LjKr7LU56TR8erQsoPdo5DFlMnbionY0bPTv8WF+uim9v+oyeKupfeowO/E7tSoweSnoMys1Oa2mcm479ym9a2mx7+3xeis6oexzd6xjd+o1Oaq/q7E2ulRQQ==,p8r4pPPype/YZAoA,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
12,问答题,生物,pv3Op/DnLAAFYaH726SoxK3p16j8q6jM1qL2mntwERAGFWEABnUTDwYcD2EBAh8XY6zOzqHh8siA2ofjz5v4t6Pp6aGP/oXF74vJhbvNyILA9IDW+9/L24OJrNT+t8Wuvdb7kNzVytK3vd+jiMia2Na8sdXMoN2FyojFyg==,dXB8,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
